,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
2024-10-04 00:00:00,3586.799920115301,18746.130489491374,178106.7172630257,93442.14065806432,-0.03848673018965525,-0.017173155360679534,-0.8913622612270015,0.4789363750699976,-0.052424894834746195,-0.059625440808589086,1.0193472354328823,0.02362161098612453,-3.364883153331839,-2.989984757563513,-0.16248211644538801,-0.6336372710978889,0.17663735261193075,-0.7064839228697799,3.0210528000791883,-0.4022222587105905,0.17340236189634214,2.9315545560629626,-0.1507489516305137,-1.796142505993714
2024-10-04 03:00:00,5494.483328324153,11116.10412249775,210734.08750388093,89098.14026398995,0.3615605824948136,0.0073438046452500546,-0.49580006694930834,1.624357926028208,-0.032449221537037665,0.01857514361397416,-0.10893964833274945,0.5141251052527934,-3.7505886451728,-4.137794682824854,0.36719864501390825,1.5977461094173702,0.030034408257024487,-0.24412525506986218,0.8347653617579474,0.01720386934127587,0.43138801693412576,1.0779444945451915,1.3543137226991215,-2.617079228889034
2024-10-04 06:00:00,4235.54313846703,13473.02497998235,196137.64907699736,93813.74423583588,0.5632155654240163,0.03768730894414785,-0.12724560394422596,2.10620404745369,0.022180395497500886,-0.014980958037739182,0.05588116913764238,0.5653958710701124,-3.610670052074093,-3.9620031618195717,0.5956673681948155,2.10182555698479,-0.017715502664789422,0.2509111346176901,-2.084086176945718,0.21170311591298,0.5610069762058739,-2.5759373075631506,2.3344088311649713,-2.5871424065550483
2024-10-04 09:00:00,5111.828470764702,16535.784630239858,165717.82608185342,93670.92756771031,0.9899712612868969,-0.05899582951578726,0.26846999782608766,1.7448895370043156,0.01874118000709014,-0.11599417621654753,0.03942805339090049,0.6826424071241605,-2.2565255101067834,-2.670843689648028,0.8577551893955874,1.7396639736255752,0.106375747188789,0.19031208029755986,-1.0609578297700701,-0.38638837616748856,1.0186099989528083,-2.3588271422739555,2.1101916230342104,-2.5454503224698772
2024-10-04 12:00:00,6533.259277744873,17583.765914409643,173220.95995396384,85467.75531061813,0.14076784637982434,-0.006524325201739569,0.0004979951740921115,0.43736276273542424,-0.006167344357716351,-0.10250899210196388,-0.496260092916847,0.4379285583487781,-1.745322630329777,-1.75048929759771,0.28809952270530287,0.5920849081242766,0.28862412302510243,0.1925523497903389,1.5757563655906253,-0.3880164198386282,0.42903498856090355,1.9307506169535558,0.7389484298294665,-1.2628097457487384
2024-10-04 15:00:00,11346.109528106914,20694.915385711178,199754.16357861093,85289.77289919594,0.3805840529150547,-0.027326386473581134,0.13331717430735252,0.24849032083316608,-0.0347448580750144,-0.025632219167860553,-0.37263633319357325,0.1543245911230537,-0.22041843590932983,0.47976634863273837,0.5935167637144775,0.613151086919872,0.0627098494179108,0.8016748771400366,0.0725270757748297,0.38015901733400015,0.4507123739343988,-0.06873781825400427,1.1031238036146445,0.1106612796851329
2024-10-04 18:00:00,7887.792025171746,34899.943260634434,174787.54479070017,93679.19008503253,0.3126857964161601,-0.040059085289820016,0.4317189034447283,1.293802277711609,-0.11993752244988541,0.20854321468677958,-1.244609345576634,0.3298833166193123,-0.5068049954277765,0.9083474980898939,0.34573472652505094,2.736094085430788,-0.13182084725271798,1.0112891855750592,-2.165701991157993,0.41754472784031116,0.2607433863235075,-1.6654973454422475,2.1366073338897085,-0.7744219630458817
2024-10-04 21:00:00,8498.779227448205,42538.76179413246,152975.00056959828,94308.73902054667,0.07993153349406522,-0.00791755723461874,0.18252599335290295,1.4719537405363485,-0.03147954128107365,0.24992115599779557,-1.032485110158567,0.3416491256378066,-2.233923394041709,-0.6486613547340105,-0.1153142161619591,0.8839482041531562,-0.04990628939185685,-0.3347640857456753,-0.9107908609663314,0.031020320435834744,0.05358722814866328,-0.1407632776547325,0.8951860560274962,-1.6000565523854173
2024-10-05 00:00:00,6809.816174307638,27669.03900852785,155114.4621938274,94349.22900644656,0.35037162004271655,-0.02711707819840508,-0.07373421397531692,0.681656804042428,0.017972814744955306,-0.035439714308768036,-0.7404823534973446,0.31151241358164994,1.0266920609001167,1.4779233989027887,0.4547543952015708,0.08731266251470318,-0.09009027511552825,-0.9238804123365201,0.10776224496151741,0.27932569335441493,0.2151914519838279,0.5716071923914624,-0.179666815786919,-0.78757773824498
2024-10-05 03:00:00,6552.829284952795,22582.944887663623,155302.66506076706,100342.17399700203,0.8976614242097245,-0.05168991568319213,0.13769414894902618,1.628371128592803,-0.03150517058640752,-0.03793660538432164,-0.6182584180859714,0.36087022221223675,0.3024299963621461,0.8287320990407261,0.7221053785607373,1.696209762649416,-0.08178294431070177,-0.3924023098442406,1.279323031507683,0.6502528601272348,0.7956937348022382,0.8622258764349036,1.325595339816076,-1.201294341728779
2024-10-05 06:00:00,5043.30457719648,19193.14911589225,182747.83967439336,108394.69078519483,1.178190978261974,-0.0161348206536339,0.23620058571779418,1.8311746482178324,-0.035546717825752916,0.03738154709675909,-2.0983210880184626,0.31106011453704857,3.7621190780549902,3.9428684636461675,0.9890836730386785,1.8185508064784326,-0.16073351617845524,-0.018893166884815266,-0.810535929124379,0.4116999848415044,1.0368693592556377,-0.12660640508568433,1.791034754889892,-1.4943341921955824
