,start,end
decay,2024-10-04 00:00:00,2024-10-05 06:00:00
intensification,2024-10-05 09:00:00,2024-10-08 09:00:00
residual,2024-10-08 12:00:00,2024-10-08 21:00:00
intensification 2,2024-10-09 00:00:00,2024-10-10 18:00:00
