,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
2024-02-14 21:00:00,310821.80762642896,60736.081610497655,700226.4540002381,116505.17640201731,5.061565953927641,0.14533344853880423,-2.6532608353796885,1.6676955077168902,3.1215911233231974,-0.286253451922193,0.2681710980290748,-3.238850904770601,-0.2806964705174546,-0.8316741195813263,-1.6517361668128352,-0.5292943851898215,-7.402696713038776,-1.761235984745209,0.4335721123304124,-10.079172929615803,1.2793211259104575,-2.8433414230711866
2024-02-15 00:00:00,292983.05702485034,55019.70225044758,620277.3294994193,97483.82776676906,4.655140392053628,0.15077944601132998,-1.9124378078812063,0.9849168212183487,1.9921883464277017,-0.1431193701201613,0.5595850938970179,-1.8131342261953796,0.2075976697291798,0.49831605072949936,-2.3681411516835684,-0.5368677822654061,-5.12276278834437,-1.1576554165850783,0.445590339953688,-8.425050466413811,0.4403889630617739,-2.2418758194892536
2024-02-15 03:00:00,259669.95875006387,49139.73751356488,589574.7777719997,91499.81940377962,3.1575787918399825,0.11703533580911263,-1.488415068647875,0.43889905860460177,1.0168994242306708,0.05086217315751708,2.0705526117580413,-0.9814923645892915,-0.2794555776911411,0.022159925248188023,-2.744982160250309,-0.2872132672166147,-1.3277601055943253,-0.12957968383934443,-0.48726745683188455,-5.067476440544475,-0.016211717578642662,-1.0754014465025294
2024-02-15 06:00:00,233691.44236344367,48815.895678568704,591597.7112185819,94684.90659583922,2.4372524049888034,0.18856066445164157,-1.3083804902226217,-0.12247200571118012,0.5679314603921933,0.07393608477215294,2.917078213039071,-0.4439920484346113,-0.017234182044602697,-0.2228402894414106,-2.2077383286834866,0.05655459369395262,-0.613380323451948,0.755794633353948,-0.14985671963523506,-4.659330451257201,-0.32841416124102196,0.013878197277117754
2024-02-15 09:00:00,211982.81085050057,50361.31673735426,576325.7627854376,107824.9834842249,2.5668096956291753,0.1335803034826178,-1.7130391291098783,0.13140631833334177,0.6417640014619894,-0.07426772647546415,1.5473115130456845,-0.31195928308110377,0.3551097612604763,-0.1873315694306848,-1.1388122024755958,-0.15708547204917858,-3.0875084763907457,1.4226667772484083,0.9198137951742078,-5.488590555955727,-0.08499173072299049,-0.10981938711370809
2024-02-15 12:00:00,209093.0987899708,45422.84948230645,524907.5281285418,125414.50898440483,3.237592190955549,0.06326974258647161,-1.5393799574242528,0.08113963173346062,0.7817895340108224,-0.11227888804384885,0.6636505984465669,-0.6625130528272458,2.833824184144142,0.13080773682636032,1.341827363893085,0.05561404761528509,-5.244650883787286,1.2976447805434395,3.860899763424283,-7.606513715765148,0.18576282480612294,0.33963824421297173
2024-02-15 15:00:00,240966.2819105912,51562.58016584442,463041.30369563226,135854.1107439632,3.328820142067932,-0.07070098727414115,-1.2965371668364651,-0.1429020205789375,1.2226888454144373,0.033325876293492096,-0.22039370881139858,-0.8677857486597579,3.971751985962798,0.5339751596049604,1.4547448921698782,0.4405955479379288,-5.116241178187925,0.5803597367277022,3.4901752015492318,-6.9281304446079925,0.33506863833964035,0.2945103391299325
2024-02-15 18:00:00,240515.58846084017,54939.71331776571,414396.7186796826,137950.2792977232,3.589689240170264,-0.1270864699093157,-1.2149148040091304,-0.2249256466755551,1.3531633122942375,0.01823956878367209,-0.515573377698626,-0.741045829642944,1.4241226982498991,-0.05474496433237868,-1.6325386331196812,-0.017098340826492118,-3.531674294625808,0.14866319221156488,0.47690082484702967,-5.390875353088315,-0.13317708637640358,-0.10028013547906645
2024-02-15 21:00:00,205703.4474352061,51193.25600399219,386757.1389317148,139065.235695733,2.634643000242061,-0.11169769325066797,-1.27793501987338,-0.205196808119263,0.6380522988533308,-0.13133718491645996,-0.263787285156136,-1.0008015253030387,0.18832177112920734,-0.47481508158842456,-1.5951439154599212,-0.4047034105731223,-1.4172463416656118,0.10462302337578337,0.2897490926781412,-2.510167036878157,-0.3668653405252574,0.03268633692470502
2024-02-16 00:00:00,206060.47988690587,46198.119649386266,383784.1976997054,140210.13660264012,2.587455111097495,-0.00785757021959965,-1.1992518128181686,0.40621910039231074,0.24963754601609156,-0.04948682322199146,-0.3633290259291817,-1.1434089358391155,0.4397927856173587,0.19613433277961184,-1.2345821385374802,-0.2672135481774452,-0.13888493493931256,-0.1809104998763171,1.0953778563243237,-1.1637592072894574,0.19634994565645666,-0.6429724772476808
2024-02-16 03:00:00,179036.47324279652,45421.44336335937,383757.22433702566,135157.56889840454,1.9317369012876917,0.07094715908300371,-1.123651765758455,-0.030856079308697416,0.37729793283852603,-0.07119906960131693,-0.15566021218920134,-1.0283224178474648,-0.07232507078903777,-0.19908287839526273,-2.0557597153959484,-0.15456642028350737,0.6245718792405495,-0.24634269347738558,-0.430373587863779,-0.027853044099485857,-0.18517058907389156,-0.31081596207967843
2024-02-16 06:00:00,161656.07003435338,42859.48497126251,397274.95029130124,134889.1344235286,2.494121543633282,0.10673613435981923,-1.1527366250358693,0.29986972692071484,0.4129073620225196,-0.12292911769530916,0.15134989143399097,-0.7540853704950173,0.627318366684517,-0.06557989045760146,-1.6292738385207997,-0.345646291271272,0.49106125567528514,0.18970192828627963,0.5586764774497821,-1.0016735543561188,-0.02958358101506721,-0.5088190531752871
