time;Lat;Lon;length;width;min_max_zeta_850;min_hgt_850;max_wind_850
2024-10-04 00Z;18.59432445868316;-95.47957357490056;5.563676535572256;5.657976137870094;-0.0002443808392583;1482.4462890625;14.47432804107666
2024-10-04 03Z;18.62368261157755;-95.19667476800709;5.469376933274416;3.9605832965090713;-0.0002263766061339;1497.469970703125;14.394102096557615
2024-10-04 06Z;18.821177640300483;-95.14952496685817;4.809279717189568;5.3750773309765805;-0.0002512965710562;1496.4251708984375;15.013116836547852
2024-10-04 09Z;19.05692664604507;-95.14952496685817;5.280777728678743;5.752275740167931;-0.0002664017239208;1486.396484375;15.644463539123535
2024-10-04 12Z;20.14137207247017;-95.62102297834733;8.204065399911627;7.449668581528954;-0.0002647623015331;1499.3612060546875;13.704784393310549
2024-10-04 15Z;20.235671674768003;-95.38527397260276;10.467255855059655;8.298365002209465;-0.0002723025556699;1512.3804931640625;13.13195514678955
2024-10-04 18Z;21.55586610693769;-95.29097437030492;7.638267786124622;9.241361025187814;-0.0002265894638939;1508.0052490234375;13.434450149536133
2024-10-04 21Z;21.178667697746352;-95.2909743703049;8.392664604507296;8.675563411400788;-0.0002237899120145;1485.2803955078125;14.048733711242676
2024-10-05 00Z;21.36726690234202;-95.3381241714538;7.449668581528947;7.638267786124601;-0.0002393808682023;1496.1634521484375;16.950725555419922
2024-10-05 03Z;21.272967300044183;-95.43242377375164;6.8838709677419345;8.769863013698654;-0.0003302213745844;1506.3653564453125;19.271093368530277
2024-10-05 06Z;22.027364118426867;-96.6111688024746;6.695271763146266;6.78957136544409;-0.0003071998278627;1499.0767822265625;17.768482208251953
2024-10-05 09Z;21.69731551038444;-95.90392178524084;6.035174547061423;8.769863013698625;-0.000311277558549;1481.7655029296875;16.75567054748535
2024-10-05 12Z;22.31026292532037;-96.0925209898365;6.129474149359261;8.015466195315952;-0.0002755415774901;1494.149169921875;14.89720058441162
2024-10-05 15Z;22.404562527618204;-96.04537118868758;7.072470172337603;9.052761820592139;-0.0002601996897556;1509.9443359375;14.875540733337402
2024-10-05 18Z;22.593161732213872;-96.46971939902784;7.449668581528954;10.090057445868325;-0.0002545532245309;1504.1085205078125;14.354293823242188
2024-10-05 21Z;22.64031153336279;-96.0453711886876;7.543968183826777;10.938753866548836;-0.0002501645058508;1484.8553466796875;14.105677604675291
2024-10-06 00Z;22.64031153336279;-96.18682059213434;7.166769774635441;8.015466195315952;-0.00026645390263;1479.9627685546875;16.660608291625977
2024-10-06 03Z;22.489966305788776;-95.05522536456031;7.543968183826777;8.769863013698654;-0.0002842668066459;1492.115234375;15.418410301208496
2024-10-06 06Z;22.546011931064957;-95.29097437030492;7.732567388422446;7.921166593018114;-0.0002606269173678;1483.2564697265625;16.004608154296875
2024-10-06 09Z;23.01750994255413;-95.52672337604947;7.921166593018121;9.524259832081299;-0.0002824982201326;1461.8751220703125;18.52474403381348
2024-10-06 12Z;22.82891073795846;-94.96092576226248;7.355368979231109;8.769863013698625;-0.0002762465125975;1433.9085693359375;24.3675594329834
2024-10-06 15Z;22.64031153336279;-94.96092576226248;6.412372956252767;8.392664604507303;-0.0003432748088468;1445.5516357421875;23.75154685974121
2024-10-06 18Z;22.49886212991604;-94.53657755192222;7.449668581528947;8.675563411400788;-0.0002986125747498;1441.70068359375;24.88572883605957
2024-10-06 21Z;22.54601193106496;-93.78218073353956;6.6009721608484355;8.48696420680514;-0.0002763725394616;1408.588134765625;25.100557327270508
2024-10-07 00Z;22.121663720724698;-93.49928192664603;7.826866990720291;8.298365002209465;-0.0002911589306459;1404.2730712890625;24.61160659790039
2024-10-07 03Z;22.31026292532037;-93.59358152894389;6.318073353954922;7.166769774635469;-0.0003031429499159;1402.451904296875;28.974929809570312
2024-10-07 06Z;22.168813521873616;-93.0749337163058;6.789571365444104;8.01546619531598;-0.0003378924967928;1395.8990478515625;27.47261428833008
2024-10-07 09Z;22.06561809544852;-92.69773530711444;7.07247017233761;7.072470172337603;-0.0002164197359883;1378.1324462890625;26.486892700195312
2024-10-07 12Z;22.272008948298712;-92.41483650022094;7.07247017233761;8.392664604507303;-0.000266796207056;1373.1259765625;26.51491355895996
2024-10-07 15Z;21.98911014140521;-91.56614007954045;7.07247017233761;8.769863013698625;-0.0001515895890773;1374.8857421875;29.49463653564453
2024-10-07 18Z;22.027364118426867;-91.00034246575342;7.072470172337603;6.695271763146252;-5.149629899312192e-05;1355.3402099609375;30.53543281555176
2024-10-07 21Z;22.027364118426867;-91.00034246575342;6.695271763146266;7.638267786124629;-5.846780234147197e-05;1335.1143798828125;30.612443923950195
2024-10-08 00Z;21.76164815626214;-90.43461536123264;6.846350861819104;7.607056513132335;-4.4276566717549686e-05;1332.2269287109375;32.52740478515625
2024-10-08 03Z;21.69731551038444;-90.104496243924;7.355368979231109;8.48696420680514;-7.670925340466363e-05;1333.027587890625;34.42668914794922
2024-10-08 06Z;22.594224057220742;-89.25579982324348;7.732567388422453;9.80715863897484;-8.292900730392494e-05;1324.0528564453125;31.73423194885254
2024-10-08 09Z;22.63361018562007;-88.83145161290322;7.826866990720291;8.9584622182943;-5.643000399877648e-05;1292.9949951171875;32.24834442138672
2024-10-08 12Z;22.44956915598762;-89.21186478126381;8.011179849756964;7.111047282368531;-3.650968627702754e-05;1284.97265625;30.504165649414062
2024-10-08 15Z;22.64920735749005;-88.31280380026513;8.76986301369864;9.241361025187814;-5.023553691187748e-05;1296.5479736328125;30.661113739013672
2024-10-08 18Z;22.64031153336279;-88.17135439681837;7.921166593018114;8.9584622182943;-4.483107459152136e-05;1292.316162109375;31.18463134765625
2024-10-08 21Z;23.21500497127706;-87.6527065841803;8.392664604507296;9.052761820592139;-4.4068248474197854e-05;1274.115478515625;30.629863739013672
2024-10-09 00Z;22.743506959787887;-86.04961334511711;8.204065399911627;10.750154661953161;-5.608718202144059e-05;1276.5389404296875;34.129615783691406
2024-10-09 03Z;23.771906760936808;-86.70971056120193;11.127353071144505;10.938753866548836;-6.219769816023789e-05;1293.98876953125;31.16726303100586
2024-10-09 06Z;24.045909743703056;-86.52111135660627;10.090057445868332;11.127353071144512;-7.129953603032102e-05;1289.384521484375;34.47846984863281
2024-10-09 09Z;24.290554573574894;-86.09676314626601;10.090057445868318;11.410251878037997;-6.982012107862161e-05;1276.9237060546875;37.014793395996094
2024-10-09 12Z;24.903501988510826;-85.34236632788333;9.052761820592139;11.033053468846674;-6.235095707578742e-05;1264.2847900390625;33.498287200927734
2024-10-09 15Z;24.800306562085723;-84.30507070260715;10.090057445868325;10.844454264250999;-6.289078739603774e-05;1268.4210205078125;35.957847595214844
2024-10-09 18Z;26.412295625276183;-84.39937030490498;9.995757843570487;11.787450287229348;-9.320348428550662e-05;1246.08837890625;40.17692565917969
2024-10-09 21Z;26.41229562527618;-83.3149248784799;10.372956252761824;12.447547503314183;-0.000203883676322;1213.0787353515625;46.486724853515625
2024-10-10 00Z;26.930943437914276;-81.38178303137428;8.015466195315952;10.655855059655323;-0.0002276934627346;1209.988525390625;47.05576705932617
2024-10-10 03Z;27.779639858594784;-81.00458462218293;8.204065399911627;11.033053468846674;-0.0001653263623378;1233.9019775390625;46.05501937866211
2024-10-10 06Z;27.985384445426423;-80.93064516129033;7.741140079540436;10.351524524966862;-0.0001467724533077;1251.5941162109375;44.51750564575195
2024-10-10 09Z;28.486886875828556;-79.73153999116215;8.864162615996484;11.504551480335863;-0.0001547647723925;1255.944580078125;40.88397979736328
2024-10-10 12Z;28.76978568272205;-79.63724038886433;8.675563411400795;9.995757843570487;-0.0001538846056876;1284.2445068359375;40.07918930053711
2024-10-10 15Z;29.194133893062308;-78.78854396818383;8.9584622182943;10.750154661953161;-0.0001647905181385;1281.1104736328125;36.87222671508789
2024-10-10 18Z;29.61848210340256;-76.94970172337604;8.298365002209458;11.976049491825023;-0.0001945899116579;1293.237548828125;37.03755569458008
